machine_id,timestamp,vibration,temperature,pressure,noise_level
M3,2026-03-24T09:28:36.121562,0.89,63.76,89.24,75.48
M3,2026-03-24T09:29:36.121562,1.58,72.29,88.39,72.93
M1,2026-03-24T09:30:36.121562,1.68,64.05,118.37,67.87
M2,2026-03-24T09:31:36.121562,3.33,64.22,100.16,75.97
M2,2026-03-24T09:32:36.121562,3.1,63.34,117.07,70.24
M3,2026-03-24T09:33:36.121562,3.38,83.89,105.96,79.86
M2,2026-03-24T09:34:36.121562,2.71,69.87,95.8,80.83
M2,2026-03-24T09:35:36.121562,1.5,57.18,86.35,73.97
M1,2026-03-24T09:36:36.121562,2.52,60.97,88.48,83.86
M1,2026-03-24T09:37:36.121562,1.45,73.71,85.66,68.18
M2,2026-03-24T09:38:36.121562,3.22,61.93,103.44,88.35
M3,2026-03-24T09:39:36.121562,3.36,68.79,105.1,93.59
M1,2026-03-24T09:40:36.121562,0.58,66.98,113.02,91.39
M2,2026-03-24T09:41:36.121562,1.3,65.22,89.45,81.57
M1,2026-03-24T09:42:36.121562,1.96,84.26,94.5,78.57
M2,2026-03-24T09:43:36.121562,2.32,60.37,116.32,66.04
M1,2026-03-24T09:44:36.121562,3.34,80.05,108.51,78.81
M2,2026-03-24T09:45:36.121562,2.04,70.38,99.77,65.46
M3,2026-03-24T09:46:36.121562,1.49,78.41,89.7,79.52
M1,2026-03-24T09:47:36.121562,3.32,57.78,100.79,73.84
M3,2026-03-24T09:48:36.121562,2.84,70.53,118.84,76.46
M1,2026-03-24T09:49:36.121562,0.87,74.26,88.2,91.69
M2,2026-03-24T09:50:36.121562,2.53,84.1,93.62,71.88
M1,2026-03-24T09:51:36.121562,2.38,59.05,108.94,89.91
M2,2026-03-24T09:52:36.121562,1.37,74.02,117.54,89.07
M1,2026-03-24T09:53:36.121562,2.61,67.61,111.54,91.4
M1,2026-03-24T09:54:36.121562,3.36,78.25,86.15,83.95
M1,2026-03-24T09:55:36.121562,1.62,87.02,109.48,67.36
M3,2026-03-24T09:56:36.121562,1.09,83.18,108.91,72.92
M3,2026-03-24T09:57:36.121562,1.31,85.44,104.48,81.52
M2,2026-03-24T09:58:36.121562,2.03,67.19,95.97,74.31
M2,2026-03-24T09:59:36.121562,3.42,68.25,100.21,69.57
M1,2026-03-24T10:00:36.121562,1.17,87.48,109.15,80.62
M1,2026-03-24T10:01:36.121562,2.62,80.22,116.95,74.95
M1,2026-03-24T10:02:36.121562,1.86,72.49,115.91,88.36
M1,2026-03-24T10:03:36.121562,1.95,57.86,97.17,82.63
M3,2026-03-24T10:04:36.121562,1.48,67.9,93.3,66.8
M2,2026-03-24T10:05:36.121562,2.09,82.83,109.59,83.59
M2,2026-03-24T10:06:36.121562,0.79,82.01,85.6,89.59
M1,2026-03-24T10:07:36.121562,3.01,57.67,90.06,74.63
M2,2026-03-24T10:08:36.121562,1.5,58.71,97.15,84.34
M1,2026-03-24T10:09:36.121562,1.97,66.07,107.57,73.09
M2,2026-03-24T10:10:36.121562,0.84,64.5,106.64,79.27
M3,2026-03-24T10:11:36.121562,3.33,72.93,94.87,66.98
M2,2026-03-24T10:12:36.121562,1.57,75.01,91.86,72.16
M1,2026-03-24T10:13:36.121562,3.37,78.35,91.13,85.73
M1,2026-03-24T10:14:36.121562,0.74,57.08,117.12,94.06
M3,2026-03-24T10:15:36.121562,0.55,78.9,105.44,68.51
M1,2026-03-24T10:16:36.121562,3.04,56.03,115.24,69.28
M1,2026-03-24T10:17:36.121562,2.88,72.52,90.08,93.12
