machine_id,timestamp,vibration,temperature,pressure,noise_level
M3,2026-03-25T10:34:57.142082,1.23,59.21,116.9,78.07
M3,2026-03-25T10:35:57.142082,1.94,70.36,112.46,83.37
M1,2026-03-25T10:36:57.142082,3.27,89.9,119.99,73.12
M2,2026-03-25T10:37:57.142082,3.09,72.47,113.58,72.75
M3,2026-03-25T10:38:57.142082,1.35,75.57,118.53,94.25
M1,2026-03-25T10:39:57.142082,1.13,85.44,99.08,84.12
M3,2026-03-25T10:40:57.142082,1.21,66.6,113.23,80.66
M3,2026-03-25T10:41:57.142082,0.56,76.71,118.04,88.81
M1,2026-03-25T10:42:57.142082,1.17,55.25,89.87,91.44
M3,2026-03-25T10:43:57.142082,0.52,79.22,95.33,72.22
M3,2026-03-25T10:44:57.142082,3.11,80.27,92.69,86.37
M1,2026-03-25T10:45:57.142082,3.39,74.19,118.52,86.54
M2,2026-03-25T10:46:57.142082,1.71,82.44,105.56,90.4
M3,2026-03-25T10:47:57.142082,1.33,56.06,115.2,93.02
M1,2026-03-25T10:48:57.142082,2.98,57.1,90.63,67.82
M3,2026-03-25T10:49:57.142082,1.08,77.07,115.82,85.43
M1,2026-03-25T10:50:57.142082,1.83,82.96,106.98,74.45
M1,2026-03-25T10:51:57.142082,1.45,59.53,103.82,67.7
M1,2026-03-25T10:52:57.142082,3.32,70.8,104.51,87.36
M3,2026-03-25T10:53:57.142082,2.76,71.92,112.99,92.5
M3,2026-03-25T10:54:57.142082,3.25,78.12,117.5,78.63
M1,2026-03-25T10:55:57.142082,2.86,55.45,110.8,90.68
M1,2026-03-25T10:56:57.142082,1.92,86.53,108.28,75.99
M3,2026-03-25T10:57:57.142082,2.07,81.51,111.15,77.95
M2,2026-03-25T10:58:57.142082,0.99,74.36,96.97,82.78
M2,2026-03-25T10:59:57.142082,1.28,58.82,85.6,77.92
M2,2026-03-25T11:00:57.142082,3.27,64.34,113.6,86.24
M2,2026-03-25T11:01:57.142082,1.53,57.64,90.02,72.64
M1,2026-03-25T11:02:57.142082,3.23,85.23,89.51,75.62
M3,2026-03-25T11:03:57.142082,3.0,68.41,109.84,93.41
M3,2026-03-25T11:04:57.142082,3.11,66.35,111.3,67.37
